year,grouping,geography,geography_type,estimate,share
2010,Construction,Sumner-Pacific,MIC (2022 RTP),2220,0.332484649
2010,Manufacturing,Sumner-Pacific,MIC (2022 RTP),1040,0.155758574
2010,"Transportation, Distribution & Logistics (TDL)",Sumner-Pacific,MIC (2022 RTP),381,0.057061555
2010,Warehousing & Wholesale,Sumner-Pacific,MIC (2022 RTP),2055,0.307772952
2010,Other Industrial,Sumner-Pacific,MIC (2022 RTP),119,0.017822375
2010,Industrial,Sumner-Pacific,MIC (2022 RTP),5815,0.870900105
2010,Non-industrial,Sumner-Pacific,MIC (2022 RTP),862,0.129099895
2010,Total,Sumner-Pacific,MIC (2022 RTP),6677,1
2015,Construction,Sumner-Pacific,MIC (2022 RTP),2354,0.204766875
2015,Manufacturing,Sumner-Pacific,MIC (2022 RTP),2101,0.182759221
2015,"Transportation, Distribution & Logistics (TDL)",Sumner-Pacific,MIC (2022 RTP),2744,0.238691719
2015,Warehousing & Wholesale,Sumner-Pacific,MIC (2022 RTP),1895,0.164839944
2015,Other Industrial,Sumner-Pacific,MIC (2022 RTP),106,0.009220598
2015,Industrial,Sumner-Pacific,MIC (2022 RTP),9200,0.800278358
2015,Non-industrial,Sumner-Pacific,MIC (2022 RTP),2296,0.199721642
2015,Total,Sumner-Pacific,MIC (2022 RTP),11496,1
2020,Construction,Sumner-Pacific,MIC (2022 RTP),3061,0.210146917
2020,Manufacturing,Sumner-Pacific,MIC (2022 RTP),3172,0.217767404
2020,"Transportation, Distribution & Logistics (TDL)",Sumner-Pacific,MIC (2022 RTP),3341,0.229369765
2020,Warehousing & Wholesale,Sumner-Pacific,MIC (2022 RTP),3374,0.231635315
2020,Other Industrial,Sumner-Pacific,MIC (2022 RTP),250,0.017163257
2020,Industrial,Sumner-Pacific,MIC (2022 RTP),13198,0.906082658
2020,Non-industrial,Sumner-Pacific,MIC (2022 RTP),1368,0.093917342
2020,Total,Sumner-Pacific,MIC (2022 RTP),14566,1
2005,Construction,All Centers,MIC (2022 RTP),13121,0.071393981
2005,Manufacturing,All Centers,MIC (2022 RTP),67105,0.365131704
2005,"Transportation, Distribution & Logistics (TDL)",All Centers,MIC (2022 RTP),22235,0.120985075
2005,Warehousing & Wholesale,All Centers,MIC (2022 RTP),25415,0.13828809
2005,Other Industrial,All Centers,MIC (2022 RTP),7874,0.042844006
2005,Industrial,All Centers,MIC (2022 RTP),135750,0.738642856
2005,Non-industrial,All Centers,MIC (2022 RTP),48033,0.261357144
2005,Total,All Centers,MIC (2022 RTP),183783,1
2010,Construction,All Centers,MIC (2022 RTP),14154,0.073721438
2010,Manufacturing,All Centers,MIC (2022 RTP),74733,0.389248566
2010,"Transportation, Distribution & Logistics (TDL)",All Centers,MIC (2022 RTP),20865,0.108675837
2010,Warehousing & Wholesale,All Centers,MIC (2022 RTP),24601,0.12813488
2010,Other Industrial,All Centers,MIC (2022 RTP),8946,0.046595449
2010,Industrial,All Centers,MIC (2022 RTP),143299,0.74637617
2010,Non-industrial,All Centers,MIC (2022 RTP),48694,0.25362383
2010,Total,All Centers,MIC (2022 RTP),191993,1
2015,Construction,All Centers,MIC (2022 RTP),17465,0.078256623
2015,Manufacturing,All Centers,MIC (2022 RTP),95882,0.429625049
2015,"Transportation, Distribution & Logistics (TDL)",All Centers,MIC (2022 RTP),24004,0.107556368
2015,Warehousing & Wholesale,All Centers,MIC (2022 RTP),26976,0.120873212
2015,Other Industrial,All Centers,MIC (2022 RTP),10595,0.047473743
2015,Industrial,All Centers,MIC (2022 RTP),174921,0.783780514
2015,Non-industrial,All Centers,MIC (2022 RTP),48255,0.216219486
2015,Total,All Centers,MIC (2022 RTP),223176,1
2020,Construction,All Centers,MIC (2022 RTP),23889,0.099864139
