year,center,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Public Education,Total
2022,Redmond Downtown,138,475,96,817,8421,108,733,362,11150
2022,Redmond-Overlake,S,532,63,393,S,98,0,0,S
2022,Renton,564,673,S,616,2625,S,462,160,15031
2022,SeaTac,83,548,22,65,5810,10804,114,0,17446
2022,Seattle Downtown,2839,19343,1620,6535,124856,6579,23548,126,185446
2022,Seattle First Hill/Capitol Hill,81,1145,267,1939,35300,442,7109,779,47061
2022,Seattle Northgate,153,775,38,1102,5603,76,2141,32,9919
2022,Seattle South Lake Union,1643,1459,466,752,74554,817,301,0,79992
2022,Seattle University Community,82,565,103,2858,6060,179,489,25745,36081
2022,Seattle Uptown,51,1003,109,907,10059,1395,1222,37,14783
2022,Silverdale,43,656,22,2563,4859,72,135,392,8741
2022,Tacoma Downtown,560,2829,1184,575,26364,481,3183,1363,36539
2022,Tacoma Mall,274,504,80,3014,4211,411,1516,21,10030
2022,Tukwila,744,432,2208,6071,7285,1468,439,0,18647
2022,University Place,208,282,52,747,2026,146,340,0,3800
2022,RGC Total,11941,44446,21196,50929,449347,31275,68826,30946,708906
